language,count,mean,median,std,min,max,pct_of_total
es,200,3.1098500000000002,0.0,7.222169350558093,0.0,40.0,32.9
pt,313,1.5937699680511184,0.0,4.6858249661700295,0.0,37.5,51.6
en,94,0.9030851063829787,0.0,2.873703925379846,0.0,20.0,15.5
