cluster,n_articles,mean_imperative_count,mean_short_term_count,mean_long_term_count,mean_spatial_count,mean_advice,mean_srl_complete,actionability_percentage_mean,top_country,top_country_pct,top_language,top_language_pct,top_global_region,top_global_region_pct,top_source_type,top_source_type_pct
structural_k3_c0,528,0.0,0.1031,0.0155,0.3786,0.0007,0.7226,0.432,Brazil,51.1,pt,51.1,Global South,83.9,unknown,40.0
structural_k3_c1,79,0.0,0.5555,0.0068,0.807,0.1112,0.8015,15.9925,Brazil,43.0,es,46.8,Global South,89.9,national_news,32.9
structural_k3_c2,20,0.0,0.2484,0.5202,0.3963,0.0196,0.8302,6.3505,Brazil,45.0,pt,45.0,Global South,85.0,regional_news,35.0
