global_region,count,mean,median,std,min,max,pct_of_total
Global South,527,2.8319924098671727,0.0,7.527483485183752,0.0,50.0,84.1
Global North,96,1.2952083333333333,0.0,5.642166806460956,0.0,50.0,15.3
